SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
517437,DUTRON POLY.,XT,Q,143.0,157.1,143.0,156.45,150.05,150.05,20,1101,172378.0,,2021-05-05
517447,R.S.SOFTWARE,B ,Q,27.5,27.5,26.6,26.8,26.7,26.9,323,4713,126281.0,,2021-05-05
517449,MAGNA ELECTR,X ,Q,156.0,159.75,154.95,157.6,155.0,156.5,16,780,122127.0,,2021-05-05
517477,ELNET TECH. ,X ,Q,126.0,129.9,123.4,128.0,128.0,123.55,49,1137,145038.0,,2021-05-05
517494,ACCEL       ,X ,Q,13.14,13.49,12.55,13.44,13.44,13.14,39,2878,38009.0,,2021-05-05
517498,WEBELSOLAR  ,B ,Q,43.8,45.0,42.0,42.55,42.55,42.6,316,9971,428688.0,,2021-05-05
517500,ROTO PUMPS  ,X ,Q,220.0,220.0,202.0,213.3,213.3,210.05,829,67563,14427051.0,,2021-05-05
517506,TTK PRESTIGE,A ,Q,7452.4,7477.0,7395.0,7424.55,7417.75,7431.4,125,288,2137855.0,,2021-05-05
517514,DHINDIA     ,X ,Q,15.45,15.45,15.25,15.25,15.25,15.45,6,1416,21609.0,,2021-05-05
517522,RAJ GLO WIR ,B ,Q,1053.0,1080.0,1050.0,1070.75,1075.5,1052.3,300,2900,3094126.0,,2021-05-05
517530,SURANATP    ,B ,Q,4.3,4.3,4.14,4.17,4.16,4.21,16,2766,11492.0,,2021-05-05
517536,ONWARD TECHN,B ,Q,115.45,116.4,112.0,113.6,114.0,113.15,296,2548,291463.0,,2021-05-05
517544,CENTUM ELEC ,B ,Q,400.9,408.0,389.9,392.05,391.35,389.2,92,471,188558.0,,2021-05-05
517546,ALFA TRANSFO,X ,Q,11.75,12.44,11.35,12.44,12.44,11.91,29,1593,18917.0,,2021-05-05
517548,STARLITE COM,Z ,Q,2.57,2.57,2.56,2.57,2.57,2.45,19,12763,32790.0,,2021-05-05
517554,NHCFOODS    ,X ,Q,6.7,6.99,6.7,6.87,6.87,6.72,10,2325,15641.0,,2021-05-05
517562,TRIGYN TECH ,B ,Q,79.2,82.0,78.7,79.95,79.0,77.9,524,20609,1653758.0,,2021-05-05
517569,KEI INDUST. ,A ,Q,522.5,524.45,518.7,522.9,524.25,517.9,223,4045,2105666.0,,2021-05-05
517571,IMPPOWERS   ,B ,Q,14.7,14.7,13.85,13.95,13.9,14.4,5,1150,16223.0,,2021-05-05
518011,KEERTHI     ,XT,Q,113.8,113.8,113.8,113.8,113.8,108.4,11,667,75904.0,,2021-05-05
518029,GUJ.SIDH.CEM,B ,Q,36.15,36.4,35.3,35.3,35.3,35.65,327,7150,256314.0,,2021-05-05
518075,SURAJ PRODUC,Z ,Q,36.6,36.6,35.9,36.5,36.5,35.0,30,1803,65601.0,,2021-05-05
518091,ANJANI PORTL,B ,Q,213.7,214.1,208.0,211.7,212.85,212.05,28,418,88783.0,,2021-05-05
519003,MODINATURAL ,X ,Q,77.9,82.0,77.9,81.0,81.0,80.3,30,1895,153825.0,,2021-05-05
519031,SHAH FOOD(P),X ,Q,22.0,22.0,20.75,20.9,20.75,21.8,7,600,12643.0,,2021-05-05
519091,TASTY BITE  ,A ,Q,15599.65,15794.95,15101.1,15574.6,15500.0,15364.2,305,765,11815998.0,,2021-05-05
519097,RITESH INTER,X ,Q,38.9,38.9,35.45,37.95,37.95,37.05,113,24405,932035.0,,2021-05-05
519105,AVT NATURAL ,B ,Q,52.0,52.0,50.35,51.05,51.05,50.3,821,35558,1819393.0,,2021-05-05
519126,HIND.FOODS  ,B ,Q,2045.15,2170.45,2000.0,2170.45,2170.45,2067.1,1173,8031,17220691.0,,2021-05-05
519136,NAHAR INDUST,B ,Q,53.0,55.95,51.2,55.05,55.05,51.1,414,31057,1704483.0,,2021-05-05
519156,VADILAL IND ,B ,Q,1018.95,1044.75,1008.85,1038.8,1027.6,1014.0,476,2471,2546188.0,,2021-05-05
519174,ASHIANA AGRO,XT,Q,4.88,4.88,4.88,4.88,4.88,4.88,4,224,1093.0,,2021-05-05
519183,ADF FOODS LT,A ,Q,916.55,931.95,888.95,906.65,908.9,907.9,533,4307,3914932.0,,2021-05-05
519191,RGRL        ,X ,Q,25.9,26.8,25.6,26.4,26.75,25.9,56,28399,741489.0,,2021-05-05
519214,WILLIAM.FIN.,X ,Q,4.7,4.7,4.7,4.7,4.7,4.9,2,700,3290.0,,2021-05-05
519216,AJANTA SOYA ,X ,Q,83.95,94.75,80.5,91.1,91.1,81.5,1539,252084,23017177.0,,2021-05-05
519224,WILLIAM.MAGO,B ,Q,18.4,19.4,18.0,19.4,19.4,18.4,11,1003,18437.0,,2021-05-05
519230,RICHIRICH   ,X ,Q,3.48,3.48,3.48,3.48,3.48,3.66,2,161,560.0,,2021-05-05
519234,SIEL        ,XT,Q,20.9,20.9,20.8,20.8,20.8,19.95,2,59,1229.0,,2021-05-05
519242,SARDA PROT. ,XT,Q,19.65,19.65,19.65,19.65,19.65,18.75,2,800,15720.0,,2021-05-05
519260,SANWARIA    ,Z ,Q,0.6,0.6,0.57,0.58,0.59,0.58,239,892955,519413.0,,2021-05-05
519262,PRIMA AGRO L,XT,Q,19.4,20.2,19.4,20.2,20.2,19.25,28,9354,186760.0,,2021-05-05
519285,TARAI FOODS ,XT,Q,4.46,4.46,4.04,4.3,4.3,4.25,16,7177,30254.0,,2021-05-05
519287,MODERN DAIRI,X ,Q,9.09,9.09,8.25,8.7,8.69,8.67,104,15466,130478.0,,2021-05-05
519295,BAMBINO AGRO,X ,Q,223.8,223.8,214.0,217.25,217.25,214.2,171,5212,1136987.0,,2021-05-05
519299,PRIME INDS. ,Z ,Q,7.1,7.24,7.1,7.23,7.1,7.1,63,12428,89798.0,,2021-05-05
519307,VIKAS WSP   ,B ,Q,5.83,5.85,5.83,5.83,5.83,6.13,134,203249,1184967.0,,2021-05-05
519319,JATALIA     ,XT,Q,7.0,7.0,6.37,6.37,6.37,6.7,5,197,1284.0,,2021-05-05
