DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-06,500338,6357,838489,14598,1953008,43.55
2021-05-06,500339,200823,35234396,458076,81243995,43.84
2021-05-06,500343,3893,93043,10070,238334,38.66
2021-05-06,500346,100,2070,201,4188,49.75
2021-05-06,500350,17700,3722310,22623,4832843,78.24
2021-05-06,500354,4347,90635,7533,156670,57.71
2021-05-06,500355,10681,3092684,26924,7827407,39.67
2021-05-06,500356,9024,141226,11290,176969,79.93
2021-05-06,500357,1034,11034,1034,11034,100.0
2021-05-06,500358,100,250,100,250,100.0
2021-05-06,500360,1700,43690,1700,44110,100.0
2021-05-06,500365,141572,2059873,230984,3358638,61.29
2021-05-06,500366,106474,449321,164941,693036,64.55
2021-05-06,500367,44241,3264986,58506,4360244,75.62
2021-05-06,500368,2369,1602155,3998,2716302,59.25
2021-05-06,500370,57776,2265337,57776,2265337,100.0
2021-05-06,500378,75858,6527581,210549,18331430,36.03
2021-05-06,500380,2468,1005464,6230,2550845,39.61
2021-05-06,500387,103,2856778,529,14642157,19.47
2021-05-06,500390,280683,13009658,732259,34340408,38.33
2021-05-06,500400,344916,35491857,2070206,213283959,16.66
2021-05-06,500402,1300,12987,1301,12730,99.92
2021-05-06,500403,5330,3867448,28879,21468835,18.46
2021-05-06,500404,29594,2329048,108592,8589305,27.25
2021-05-06,500405,7273,5182013,20312,14561341,35.81
2021-05-06,500407,4502,6959867,6889,10660088,65.35
2021-05-06,500408,12199,45824934,42012,155850977,29.04
2021-05-06,500410,1504,2850306,6383,12066675,23.56
2021-05-06,500411,1213,1840425,1961,2963696,61.86
2021-05-06,500412,13811,1316879,36556,3495898,37.78
2021-05-06,500413,39574,1858000,63113,2950068,62.7
2021-05-06,500414,23609,838120,30417,1071442,77.62
2021-05-06,500418,22141,1860952,48604,4039927,45.55
2021-05-06,500420,1494,3898444,10895,28590501,13.71
2021-05-06,500422,5892,148479,10624,273079,55.46
2021-05-06,500425,29145,9166103,99088,31037622,29.41
2021-05-06,500426,4157,51714,5401,62919,76.97
2021-05-06,500429,4623,389026,18607,1581205,24.85
2021-05-06,500439,18,30909,31,53087,58.06
2021-05-06,500440,384512,148421632,1443977,547592829,26.63
2021-05-06,500444,3325,693429,9920,2093680,33.52
2021-05-06,500449,88006,3454236,109828,4367778,80.13
2021-05-06,500456,68656,1180884,73627,1250665,93.25
2021-05-06,500458,2471,5386,2471,5386,100.0
2021-05-06,500459,155,2081046,313,4235767,49.52
2021-05-06,500460,9685,1096324,9685,1096324,100.0
2021-05-06,500463,348,519234,593,897572,58.68
2021-05-06,500464,24384,3683204,36792,5562267,66.28
2021-05-06,500467,28674,4973506,45381,7981317,63.18
2021-05-06,500469,181634,14276433,651000,51547611,27.9
2021-05-06,500470,132574,145904316,2128433,2349571130,6.23
2021-05-06,500472,1231,2753378,2096,4665404,58.73
2021-05-06,500477,119634,13620331,456772,51460951,26.19
2021-05-06,500480,7420,6231316,26238,22261509,28.28
2021-05-06,500483,3006,3319376,12170,13503209,24.7
2021-05-06,500488,240,3701832,450,6950733,53.33
2021-05-06,500490,984,3387765,1485,5105705,66.26
2021-05-06,500493,18229,11721247,103176,66054909,17.67
2021-05-06,500495,12880,14587888,58277,65815181,22.1
2021-05-06,500500,8457,56155,10657,71875,79.36
2021-05-06,500510,117146,156958069,150093,201289883,78.05
2021-05-06,500520,16725,12496084,66550,49951601,25.13
2021-05-06,500530,653,8887624,1524,20676133,42.85
2021-05-06,500540,9150,21228,10650,24833,85.92
2021-05-06,500547,118052,51216861,265328,114304046,44.49
2021-05-06,500550,3029,5641059,8641,15946208,35.05
2021-05-06,500570,357730,107730390,2064712,612687525,17.33
2021-05-06,500575,17312,17040202,56565,55329773,30.61
2021-05-06,500620,80511,31254371,265359,106352934,30.34
2021-05-06,500645,89226,24421157,189853,51974015,47.0
2021-05-06,500650,2983,3067718,4750,4935727,62.8
2021-05-06,500655,37202,28558116,68681,54627531,54.17
