Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unix Date,company
2021-04-30,7.9,8.6,7.89,8.0,8.005433624547198,9386,54,75139.0,8755.0,93.28,0.71,0.1,1619740800.0,531273
2021-04-27,13.26,13.5,13.26,13.5,13.311688311688313,231,2,3075.0,231.0,100.0,0.24,0.24,1619481600.0,502933
2021-04-30,4.37,4.37,4.16,4.16,4.173932996787517,8716,33,36380.0,8716.0,100.0,0.21,-0.21,1619740800.0,531591
2021-04-29,7.8,8.19,7.8,8.19,8.170289855072463,1104,6,9020.0,1104.0,100.0,0.39,0.39,1619654400.0,531049
2021-04-30,30.0,30.0,29.95,29.95,29.99099099099099,111,3,3329.0,111.0,100.0,0.05,-0.05,1619740800.0,526231
2021-04-28,30.35,30.35,30.35,30.35,30.33333333333333,12,5,364.0,12.0,100.0,0.0,0.0,1619568000.0,530733
2021-04-19,3.93,3.93,3.93,3.93,3.93,100,1,393.0,100.0,100.0,0.0,0.0,1618790400.0,526823
2021-04-07,3.3,3.3,3.3,3.3,3.298507462686567,201,1,663.0,201.0,100.0,0.0,0.0,1617753600.0,530167
2021-04-30,977.0,977.0,956.45,961.75,967.6510768349171,104705,2750,101317906.0,59443.0,56.77,20.55,-15.25,1619740800.0,532755
2021-04-30,55.7,58.4,55.1,56.3,56.23942377826404,5484,81,308417.0,4763.0,86.85,3.3,0.6,1619740800.0,526931
2021-04-29,1369.0,1369.0,1352.05,1355.55,1360.8698397517223,102466,4341,139442889.0,32162.0,31.39,16.95,-13.45,1619654400.0,500209
2021-04-30,31.75,31.75,30.3,30.3,31.546961325966848,1629,13,51390.0,1491.0,91.53,1.45,-1.45,1619740800.0,532855
2021-04-30,231.9,231.9,219.5,220.65,223.15900527505647,3981,330,888396.0,3188.0,80.08,12.4,-11.25,1619740800.0,526582
2021-04-28,2.0,2.0,2.0,2.0,2.0,4346,7,8692.0,4346.0,100.0,0.0,0.0,1619568000.0,500458
2021-04-30,19.0,19.0,17.25,17.8,18.51968503937008,508,21,9408.0,407.0,80.12,1.75,-1.2,1619740800.0,531255
2021-04-30,6.16,6.5,6.16,6.47,6.388038557206511,335294,6355,2141871.0,163118.0,48.65,0.34,0.31,1619740800.0,532794
2021-04-29,1161.0,1228.0,1121.0,1152.8,1188.518691588785,428,50,508686.0,308.0,71.96,107.0,-8.2,1619654400.0,501298
2021-04-30,4.6,4.6,4.51,4.56,4.57015742642026,1461,16,6677.0,1461.0,100.0,0.09,-0.04,1619740800.0,532845
2021-04-30,9.86,9.86,9.86,9.86,9.853932584269664,89,3,877.0,89.0,100.0,0.0,0.0,1619740800.0,530213
2021-04-28,6.9,7.2,6.6,7.2,6.745454545454546,165,4,1113.0,165.0,100.0,0.6,0.3,1619568000.0,524580
2021-04-09,5.9,5.9,5.9,5.9,5.9,300,1,1770.0,300.0,100.0,0.0,0.0,1617926400.0,530929
2021-04-30,0.87,0.87,0.86,0.87,0.8688981868898186,2151,5,1869.0,2151.0,100.0,0.01,0.0,1619740800.0,530445
2021-04-29,10.45,10.45,9.87,10.17,10.120189905047477,4002,12,40501.0,4001.0,99.98,0.58,-0.28,1619654400.0,500402
2021-04-29,1135.0,1194.95,1132.6,1177.5,1175.5725556494788,14196,1533,16688428.0,4470.0,31.49,62.35,42.5,1619654400.0,501425
2021-04-30,124.0,126.75,123.5,125.05,124.8735193576596,12579,342,1570784.0,4304.0,34.22,3.25,1.05,1619740800.0,532749
2021-04-29,1156.0,1161.4,1127.05,1130.25,1137.5712091252267,122386,5461,139222790.0,51452.0,42.04,34.35,-25.75,1619654400.0,500495
2021-04-29,1170.0,1224.5,1127.95,1148.85,1179.399334907217,39393,3379,46460078.0,15088.0,38.3,96.55,-21.15,1619654400.0,500031
2010-01-12,50.0,50.0,50.0,50.0,50.0,100,1,5000.0,100.0,100.0,0.0,0.0,1263254400.0,530905
2021-04-29,39.5,39.5,37.05,37.05,37.24088050314466,1590,143,59213.0,1330.0,83.65,2.45,-2.45,1619654400.0,500207
2021-04-30,5.68,5.68,5.68,5.68,5.666666666666666,30,2,170.0,30.0,100.0,0.0,0.0,1619740800.0,531198
2021-04-30,111.6,114.45,111.6,112.7,113.10942992587832,199132,1943,22523707.0,34268.0,17.21,2.85,1.1,1619740800.0,532809
2021-04-29,420.0,422.9,417.0,419.65,419.86104590040895,322459,5077,135387973.0,97765.0,30.32,5.9,-0.35,1619654400.0,500547
2021-04-29,21.4,21.45,20.05,20.15,21.27322404371585,366,8,7786.0,365.0,99.73,1.4,-1.25,1619654400.0,501343
2021-04-29,139.0,140.05,135.0,139.45,137.72590600108427,95916,2822,13210118.0,12146.0,12.66,5.05,0.45,1619654400.0,503310
2021-04-29,20.7,21.75,20.7,21.75,20.748571428571427,525,6,10893.0,525.0,100.0,1.05,1.05,1619654400.0,530615
2021-04-30,3.45,3.45,3.45,3.45,3.4495841995842,1924,5,6637.0,1924.0,100.0,0.0,0.0,1619740800.0,531444
2021-04-30,116.6,118.7,104.15,106.45,108.53105986916135,52431,1839,5690392.0,25232.0,48.12,14.55,-10.15,1619740800.0,524824
2021-04-30,11.56,12.12,11.56,11.56,11.738461538461538,65,6,763.0,65.0,100.0,0.56,0.0,1619740800.0,531314
2021-04-30,415.0,415.0,409.55,409.55,412.4915254237288,59,11,24337.0,55.0,93.22,5.45,-5.45,1619740800.0,526807
2021-04-30,20.0,20.65,19.0,20.6,19.474093264248705,386,18,7517.0,385.0,99.74,1.65,0.6,1619740800.0,530265
2021-03-08,5.69,5.69,5.69,5.69,5.681818181818182,22,1,125.0,22.0,100.0,0.0,0.0,1615161600.0,526532
2021-04-29,1519.8,1527.35,1497.1,1506.3,1508.186940239267,107077,6318,161492133.0,47915.0,44.75,30.25,-13.5,1619654400.0,500114
2021-04-29,171.05,171.7,167.95,168.4,169.81686821403028,61524,1042,10447813.0,30992.0,50.37,3.75,-2.65,1619654400.0,532210
2021-04-29,4.36,4.46,4.27,4.39,4.410089686098655,4460,28,19669.0,4460.0,100.0,0.19,0.03,1619654400.0,500028
2021-04-30,51.45,51.45,51.45,51.45,51.44989041641761,5019,97,258227.0,5019.0,100.0,0.0,0.0,1619740800.0,530175
2021-04-30,0.58,0.6,0.58,0.6,0.5937090432503276,763,6,453.0,763.0,100.0,0.02,0.02,1619740800.0,514144
2021-04-30,7.25,7.25,7.25,7.25,7.249995918833767,122514,537,888226.0,122514.0,100.0,0.0,0.0,1619740800.0,530665
2021-04-29,869.95,875.0,862.75,869.35,868.3890026323486,3419,370,2969022.0,2083.0,60.92,12.25,-0.6,1619654400.0,500163
2021-04-30,11.4,11.55,11.35,11.35,11.46153846153846,2912,9,33376.0,2912.0,100.0,0.2,-0.05,1619740800.0,532847
2021-04-29,224.95,226.0,216.3,224.7,223.0017898832685,12850,167,2865573.0,10573.0,82.28,9.7,-0.25,1619654400.0,500166
2021-04-29,2.57,2.57,2.57,2.57,2.569230769230769,650,3,1670.0,650.0,100.0,0.0,0.0,1619654400.0,532812
2021-04-30,52.15,54.0,52.0,52.6,52.72210978077983,41009,390,2162081.0,28173.0,68.7,2.0,0.45,1619740800.0,526853
2021-04-30,10.98,10.98,10.98,10.98,10.0,1,1,10.0,1.0,100.0,0.0,0.0,1619740800.0,530881
2021-04-29,11.2,11.31,11.0,11.05,11.11097785055854,260142,1250,2890432.0,207581.0,79.8,0.31,-0.15,1619654400.0,500106
2021-04-30,2147.35,2147.35,2087.05,2098.55,2097.91104933982,1439,320,3018894.0,649.0,45.1,60.3,-48.8,1619740800.0,531335
2021-04-29,2057.05,2108.0,2057.05,2073.45,2082.3828,2500,551,5205957.0,732.0,29.28,50.95,16.4,1619654400.0,500042
2021-04-30,165.0,167.0,158.2,160.5,160.97537619699042,11696,177,1882768.0,8294.0,70.91,8.8,-4.5,1619740800.0,526981
2021-04-30,151.4,152.75,149.2,150.2,151.30147372176688,201802,1991,30532940.0,34695.0,17.19,3.55,-1.2,1619740800.0,532848
2021-04-30,29772.0,29960.0,29500.0,29654.2,29736.32896174864,915,415,27208741.0,134.0,14.64,460.0,-117.8,1619740800.0,532827
